section,word,definition
7.8.1,full connected network,A network that connects processor-memory nodes by supplying a dedicated communication link between every node.
7.8.1,multistage network,A network that supplies a small switch at each node.
7.8.1,crossbar network,A network that allows any node to communicate with any other node in one pass through the network.
7.9.1,Memory-mapped I/O,"An I/O scheme in which portions of the address space are assigned to I/O devices, and reads and writes to those addresses are interpreted as commands to the I/O device."
7.9.1,Direct memory access (DMA),A mechanism that provides a device controller with the ability to transfer data directly to or from the memory without involving the processor.
7.9.1,Interrupt-driven I/O,An I/O scheme that employs interrupts to indicate to the processor that an I/O device needs attention.
7.9.1,Device driver,A program that controls an I/O device that is attached to the computer.
7.9.1,Polling,The process of periodically checking the status of an I/O device to determine the need to service the device.
7.9.10,Pthreads,A UNIX API for creating and manipulating threads. It is structured as a library.
7.9.10,Arithmetic intensity,The ratio of floating-point operations in a program to the number of data bytes accessed by a program from main memory.
